NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MIN,MAX,MED,AMEAN,GMEAN,STD,GSTATS_N,GSTATS_MIN,GSTATS_MAX,GSTATS_MED,GSTATS_AMEAN,GSTATS_GMEAN,GSTATS_STD,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,18,307,228,0.384979159,6.071896553,0.903475225,1.206706794,1.032521176,0.738114986,228,0.348787218,6.071896553,0.877748132,1.084592725,0.937898274,0.669825622,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,24,24,3,1.444630146,1.902141094,1.882860065,1.743210435,1.729574002,0.258757766,3,1.442127705,1.902141094,1.882860065,1.742376288,1.728574748,0.260201553,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,15,482,482,0.097172841,1.228957772,0.314169228,0.321057164,0.288283251,0.146822371,482,0.096142054,0.681802034,0.288918018,0.295118249,0.266301619,0.130649936,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,16,581,581,0.172084987,2.38382864,0.490581095,0.725561527,0.602811794,0.456658521,581,0.169498935,2.190798044,0.444181442,0.669636921,0.555587625,0.427296438,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,2,1516,1516,0.112371646,0.833270848,0.242965415,0.266546158,0.254609328,0.087569823,1516,0.103899859,0.832295299,0.235892698,0.257036293,0.245905485,0.083104562,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,3,772,772,0.099722207,0.415044457,0.161635548,0.165755315,0.162782393,0.033187249,772,0.089757405,0.347051889,0.154995233,0.159338613,0.156626319,0.030552208,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,0,673,418,0.029090259,1.424486876,0.452758014,0.587188957,0.36641612,0.467835253,418,0.028165556,1.424486876,0.431069285,0.576609527,0.35096151,0.469825731,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,1,684,678,0.253667384,1.247560859,0.602756023,0.616357275,0.574991594,0.22609563,678,0.246855184,1.246438861,0.57265085,0.598410318,0.556748079,0.22524735,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,7,566,509,0.148669451,1.05611062,0.443264753,0.468507004,0.42863181,0.192983067,509,0.148636341,1.05611062,0.429580837,0.460657793,0.419246261,0.195975978,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,6,947,947,0.099906638,0.62482965,0.179672614,0.206303429,0.194198662,0.081237754,947,0.098518059,0.596934497,0.17583479,0.201679745,0.190157628,0.078341945,,
